,FN,FP,TN,TP,max_diff
X1,143844.29487179487,98662.46056782335,180706.8141063957,104912.51682368775,82044.35353857235
X17,29811.927083333332,46974.57097791798,38481.52106993425,51935.03768506057,22123.110601727236
X16,31250.32612179487,47770.3785488959,40210.92722653915,53166.3862718708,21916.060150075926
X15,34576.74439102564,51004.35015772871,43366.357142857145,55368.86406460296,20792.11967357732
X13,40379.73878205128,55226.55835962145,49450.210251046024,60559.00538358008,20179.266601528798
X14,38702.06810897436,53179.2429022082,47423.80543933054,58376.92597577389,19674.85786679953
X12,42230.749198717946,55771.59305993691,51566.09757919904,61703.38223418573,19472.633035467785
X19,3433.372596153846,2381.6182965299686,6853.857740585774,2666.862718707941,4472.2394440558055
X18,3910.4823717948716,2379.3943217665615,6501.69560669456,2814.8129205921937,4122.3012849279985
X20,3258.15625,2491.410094637224,5967.1521219366405,2405.162853297443,3561.9892686391977
X21,3078.8533653846152,2284.4479495268138,5268.8281530185295,2970.7550471063255,2984.3802034917157
X23,3197.2580128205127,3161.981072555205,5990.908846383742,3366.819650067295,2828.9277738285364
X22,3204.9238782051284,2380.744479495268,5179.33965929468,3000.3674293405115,2798.595179799412
X6,-0.125,2.0441640378548898,-0.3148535564853556,2.0578734858681025,2.372727042353458
X7,-0.19791666666666666,1.6687697160883281,-0.3991332934847579,1.5585464333781964,2.067903009573086
X8,-0.18509615384615385,1.337539432176656,-0.39300657501494324,1.3270524899057874,1.7305460071915992
X9,-0.3020833333333333,1.0630914826498423,-0.4215481171548117,1.2382234185733514,1.659771535728163
X10,-0.38782051282051283,0.9652996845425867,-0.44754931261207415,1.100942126514132,1.5484914391262061
X11,-0.42628205128205127,0.8391167192429022,-0.4653317393903168,1.0403768506056528,1.5057085899959697
X5,35.419871794871796,35.88328075709779,35.27271368798566,35.99327052489906,0.7205568369134028
X3,1.857371794871795,2.0157728706624605,1.8398087268380154,1.9690444145356663,0.17596414382444503
X4,1.5456730769230769,1.5615141955835963,1.558726838015541,1.5114401076716015,0.05007408791199475
X2,1.5729166666666667,1.5741324921135647,1.6071428571428572,1.5639300134589502,0.04321284368390699
